bond,angle,hf,vqe,exact,n_qubits,n_params,n_evaluations
0.85,106.67,-55.320316478542736,-55.332929347212044,-55.33293300447811,8,54,281
0.9249999999999999,106.67,-55.41612902134091,-55.43138263046362,-55.43138694851488,8,54,225
0.9999999999999999,106.67,-55.452322023529575,-55.47086336939546,-55.470872665620014,8,54,281
1.0749999999999997,106.67,-55.44912318554365,-55.4721329196315,-55.47214830687585,8,54,388
1.15,106.67,-55.41985053279302,-55.448497882661336,-55.44852818444977,8,54,389
1.2249999999999996,106.67,-55.37357000066871,-55.409923074087175,-55.40997533690809,8,54,333
1.2999999999999998,106.67,-55.31657901440528,-55.362263907963154,-55.36237379356396,8,54,333
1.3749999999999996,106.67,-55.25325099727505,-55.31075093005339,-55.31096120500287,8,54,332
1.4499999999999997,106.67,-55.1865777781782,-55.257680030430784,-55.258049972124326,8,54,441
1.5249999999999995,106.67,-55.11857484704964,-55.20683211714831,-55.20739676415117,8,54,385
1.5999999999999996,106.67,-55.05060277048708,-55.155813726354516,-55.1565742095833,8,54,440
